price,rooms,lat,lng,square_total,square_living,square_kitchen,type_apartment,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,heating_type,hot_water_type,cold_water_type,sewerage_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house
186289250,4,55.739017,37.60381,232.4,111.6,20.2,Вторичка,3.2,Дизайнерский,Во двор,Монолитный,Железобетонные,2005.0,B+,Отсутствует,Отсутствует,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,6.0,8.0
91900000,4,55.664096,37.536517,210.0,150.0,20.0,Вторичка,3.7,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,2004.0,Не присвоен,Есть,Отсутствует,Бетонные столбы,Центральное,"Автономная котельная (крышная, встроенно-пристроенная)",Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,6.0,23.0
75000000,4,55.753899,37.602535,128.0,95.0,20.0,Вторичка,3.5,Евроремонт,На улицу и двор,Кирпичный,Деревянные,1927.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,8.0
58000000,4,55.665936,37.514505,172.93,106.3,17.6,Вторичка,3.1,Дизайнерский,Во двор,Монолитный,Железобетонные,2014.0,C,Есть,Отсутствует,Сплошной,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,32.0,34.0
49990000,4,55.72455,37.527956,129.3,62.2,28.0,Вторичка,3.3,Евроремонт,Во двор,Монолитный,Железобетонные,2006.0,A,Есть,Есть,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточная вентиляция,Автоматическая,Внутренние водостоки,2.0,17.0
42000000,4,55.78116,37.451061,193.0,150.0,25.0,Вторичка,2.9,Без ремонта,На улицу,Монолитный,Железобетонные,2006.0,A,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,16.0,19.0
18900000,4,55.636356000000006,37.747639,83.5,53.4,8.5,Вторичка,2.64,Евроремонт,На улицу и двор,Панельный,Железобетонные,1996.0,E,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,2.0,14.0
9500000,4,55.60115699999999,37.666719,62.3,46.0,6.0,Вторичка,2.64,Без ремонта,Во двор,Блочный,Железобетонные,1974.0,E,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,1.0,12.0
45000000,4,55.608816,37.535403,178.5,118.0,40.3,Вторичка,2.8,Дизайнерский,Во двор,Монолитный,Железобетонные,2014.0,C,Есть,Есть,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Наружные водостоки,8.0,23.0
90000000,4,55.718872,37.499893,230.0,130.0,20.0,Вторичка,2.7,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,1997.0,Не присвоен,Есть,Есть,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ИТП,Центральное,Автономное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Наружные водостоки,6.0,7.0
26900000,4,55.883096,37.705544,141.0,80.3,13.0,Вторичка,3.2,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2008.0,A,Есть,Есть,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,13.0,17.0
26000000,4,55.882348,37.704412,141.6,84.0,20.0,Вторичка,3.0,Евроремонт,Во двор,Монолитный,Железобетонные,2005.0,A,Есть,Есть,Ленточный,Центральное,Индивидуальный тепловой пункт (ИТП),Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Пожарный кран,Внутренние водостоки,6.0,14.0
171386110,4,55.74857900000001,37.598555,208.0,140.0,20.0,Вторичка,3.2,Без ремонта,На улицу и двор,Монолитный,Железобетонные,2002.0,B+,Отсутствует,Отсутствует,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,3.0,9.0
23399000,4,55.84196800000001,37.439733,121.0,75.0,15.0,Вторичка,3.12,Без ремонта,На улицу и двор,Панельный,Железобетонные,2010.0,A,Есть,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,13.0,23.0
58000000,4,55.74031899999999,37.591997,135.0,98.0,15.0,Вторичка,3.8,Дизайнерский,На улицу и двор,Кирпичный,Деревянные,1913.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,3.0,6.0
16500000,4,55.91240500000001,37.553442,103.9,64.6,10.3,Вторичка,2.64,Косметический,На улицу и двор,Панельный,Железобетонные,2007.0,A,Есть,Есть,Бетонные столбы,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,22.0,22.0
13500000,4,55.89794200000001,37.564689,76.0,52.0,8.0,Вторичка,2.64,Косметический,Во двор,Панельный,Железобетонные,1978.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,2.0,12.0
19800000,4,55.70251500000001,37.61937800000001,91.0,57.0,12.0,Вторичка,2.7,Косметический,На улицу и двор,Панельный,Железобетонные,2005.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,3.0,17.0
82000000,4,55.79848000000001,37.520671,158.1,89.0,18.0,Вторичка,3.2,Без ремонта,На улицу,Монолитно кирпичный,Железобетонные,2006.0,B,Есть,Есть,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,26.0,45.0
19700000,4,55.803479,37.637704,86.5,57.5,8.2,Вторичка,3.05,Косметический,На улицу и двор,Кирпичный,Железобетонные,1959.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,2.0,10.0
257079165,4,55.739017,37.60381,224.0,157.0,12.0,Вторичка,3.6,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,2005.0,B+,Отсутствует,Отсутствует,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,2.0,8.0
